TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER
SUB,1/8/04,A,32.28,0.5,1548.9467162329615,50000.0,x
SUB,8/16/05,A,30.48,2.0,4921.259842519685,150000.0,x
SUB,12/6/99,AA,72.63,0.5,688.4207627702052,50000.0,x
ADD,5/26/00,AA,57.31,0.5,688.4207627702052,39453.393914360466,x
SUB,7/16/14,AA,16.6,1.0,6024.096385542168,100000.0,x
SUB,6/21/95,AAPL,49.38,1.0,2025.1113811259618,100000.0,x
ADD,7/1/97,AAPL,13.19,1.0,2025.1113811259618,26711.219117051434,x
SUB,9/1/99,AAPL,68.63,0.5,728.5443683520327,50000.0,x
SUB,9/2/99,AAPL,70.56,1.0,708.6167800453514,50000.0,x
SUB,9/7/99,AAPL,76.38,2.0,1309.2432573972244,100000.0,x
ADD,7/19/02,AAPL,14.96,0.5,1373.2022028973042,20543.10495534367,x
SUB,11/3/04,AAPL,55.31,2.0,903.995660820828,50000.0,x
SUB,2/3/97,ABC,49.75,0.5,1005.0251256281407,50000.0,x
SUB,4/19/13,ABC,55.92,1.0,894.134477825465,50000.0,x
SUB,1/31/95,ABT,35.38,0.5,1413.2278123233464,50000.0,x
ADD,6/13/02,ABT,35.95,0.5,2826.4556246466927,101611.07970604861,x
SUB,8/16/06,ABT,49.28,0.5,1014.6103896103896,50000.0,x
SUB,1/18/07,ABT,52.79,2.0,2841.4472437961736,150000.0,x
SUB,7/27/00,ACE,36.69,1.0,2725.5382938130283,100000.0,x
SUB,1/6/06,ACN,31.15,1.0,3210.2728731942216,100000.0,x
SUB,10/6/97,ACT,65.13,0.5,767.6953784738216,50000.0,x
ADD,5/3/04,ACT,35.42,0.5,767.6953784738216,27191.770305542763,x
SUB,5/2/11,ACT,63.36,1.0,1578.2828282828284,100000.0,x
SUB,5/15/13,ACT,123.88,2.0,807.2328059412334,100000.0,x
SUB,5/5/97,ADBE,46.5,1.0,2150.537634408602,100000.0,x
ADD,7/31/98,ADBE,32.31,0.5,1075.268817204301,34741.93548387097,x
ADD,8/3/98,ADBE,31.0,2.0,1075.268817204301,33333.333333333336,x
SUB,9/18/03,ADBE,41.52,0.5,1204.2389210019267,50000.0,x
ADD,10/7/08,ADBE,28.69,1.0,2408.4778420038533,69099.22928709055,x
SUB,7/15/97,ADI,32.81,1.0,3047.8512648582746,100000.0,x
SUB,10/28/94,ADM,29.0,2.0,6896.551724137931,200000.0,x
ADD,7/15/08,ADM,28.37,0.5,3639.052817214441,103239.92842437369,x
ADD,10/7/08,ADM,17.04,0.5,3639.052817214441,62009.46000533407,x
ADD,10/8/08,ADM,17.03,1.0,7278.105634428883,123946.13895432388,x
SUB,9/6/95,ADP,68.38,0.5,731.2079555425563,50000.0,x
SUB,9/8/95,ADP,69.25,1.0,722.0216606498195,50000.0,x
SUB,7/31/13,ADS,197.78,1.0,505.61229649105064,100000.0,x
SUB,8/1/13,ADS,203.23,2.0,492.0533385819023,100000.0,x
SUB,3/10/00,ADSK,54.88,1.0,1822.1574344023322,100000.0,x
ADD,3/4/08,ADSK,29.9,0.5,3644.3148688046645,108965.01457725946,x
SUB,4/26/10,ADSK,34.72,1.0,1440.0921658986176,50000.0,x
SUB,5/27/03,AEE,46.49,2.0,4302.0004302000425,200000.0,x
SUB,11/25/97,AEP,49.75,1.0,2010.0502512562814,100000.0,x
SUB,10/6/98,AEP,52.0,2.0,1923.076923076923,100000.0,x
ADD,7/10/02,AEP,35.27,0.5,983.2817935833011,34680.348859683036,x
ADD,7/19/02,AEP,28.3,0.5,983.2817935833011,27826.874758407423,x
ADD,7/22/02,AEP,26.02,1.0,1966.5635871666025,51169.984538075,x
SUB,7/11/05,AEP,38.88,0.5,1286.0082304526748,50000.0,x
SUB,7/12/05,AEP,38.99,1.0,1282.3800974608873,50000.0,x
SUB,1/14/00,AES,83.25,2.0,2402.4024024024025,200000.0,x
ADD,11/6/08,AES,6.61,0.5,1201.2012012012012,7939.939939939941,x
SUB,3/16/04,AET,87.14,0.5,573.7893045673628,50000.0,x
ADD,7/31/06,AET,31.49,1.0,2295.1572182694513,72274.50080330501,x
SUB,11/4/96,AFL,41.5,0.5,1204.8192771084337,50000.0,x
SUB,2/3/04,AFL,39.0,1.0,1282.051282051282,50000.0,x
SUB,10/25/07,AFL,61.76,2.0,1619.1709844559587,100000.0,x
SUB,4/17/98,AIG,139.44,1.0,717.154331612163,100000.0,x
ADD,9/19/01,AIG,69.5,0.5,1008.4982788296043,70090.6303786575,x
ADD,9/21/01,AIG,67.05,2.0,1008.4982788296043,67619.80959552496,x
SUB,8/27/09,AIG,47.84,2.0,4180.602006688963,200000.0,x
SUB,6/8/95,AIV,19.5,0.5,2564.102564102564,50000.0,x
SUB,6/14/95,AIV,19.88,1.0,2515.0905432595573,50000.0,x
ADD,12/17/99,AIV,35.13,0.5,2539.596553681061,89216.02693081567,x
SUB,7/26/00,AIV,47.97,1.0,1042.3181154888473,50000.0,x
ADD,10/9/02,AIV,35.0,0.5,1790.957334584954,62683.50671047339,x
SUB,5/5/05,ALL,57.47,0.5,870.0191404210893,50000.0,x
SUB,2/6/96,ALTR,74.5,1.0,1342.2818791946308,100000.0,x
ADD,9/20/01,ALTR,19.28,0.5,5369.127516778523,103516.77852348993,x
ADD,9/21/01,ALTR,17.92,2.0,5369.127516778523,96214.76510067115,x
SUB,4/23/03,ALTR,16.7,0.5,2994.011976047904,50000.0,x
SUB,10/2/97,ALXN,15.38,0.5,3250.975292587776,50000.0,x
SUB,1/24/00,ALXN,47.06,1.0,1062.4734381640458,50000.0,x
SUB,2/12/14,ALXN,175.86,2.0,568.6341407938132,100000.0,x
SUB,5/17/95,AMAT,80.27,2.0,2491.5908807773767,200000.0,x
SUB,6/4/96,AME,22.25,0.5,2247.191011235955,50000.0,x
SUB,5/5/97,AME,24.13,1.0,2072.1094073767094,50000.0,x
SUB,4/21/06,AME,50.25,2.0,1990.0497512437812,100000.0,x
SUB,3/12/99,AMGN,75.0,0.5,666.6666666666666,50000.0,x
ADD,5/7/02,AMGN,46.54,0.5,1333.3333333333333,62053.33333333333,x
SUB,7/30/08,AMGN,62.3,2.0,3210.2728731942216,200000.0,x
SUB,1/12/00,AMT,38.0,1.0,2631.5789473684213,100000.0,x
SUB,9/23/97,AMZN,55.5,2.0,3603.6036036036035,200000.0,x
SUB,6/12/96,AN,32.25,2.0,6201.550387596899,200000.0,x
ADD,10/7/98,AN,11.94,0.5,1550.3875968992247,18511.62790697674,x
ADD,10/8/98,AN,11.25,0.5,1550.3875968992245,17441.860465116275,x
ADD,1/7/08,AN,13.8,1.0,3100.7751937984494,42790.6976744186,x
SUB,10/9/95,AON,43.75,2.0,4571.428571428572,200000.0,x
SUB,6/15/95,APA,30.75,0.5,1626.0162601626016,50000.0,x
SUB,10/7/04,APA,52.5,1.0,952.3809523809524,50000.0,x
SUB,4/27/00,APC,42.13,0.5,1186.8027533823877,50000.0,x
SUB,4/28/00,APC,43.44,2.0,3453.038674033149,150000.0,x
ADD,6/4/12,APC,57.12,0.5,2319.9207137077683,132513.87116698772,x
SUB,7/7/95,APD,58.88,0.5,849.1847826086956,50000.0,x
